"Sex","Age","Time","Value"
"Males","Population (hist&proj) 15-64, persons","2000",28354.51
"Males","Population (hist&proj) 15-64, persons","2001",28299.94
"Males","Population (hist&proj) 15-64, persons","2002",28260.95
"Males","Population (hist&proj) 15-64, persons","2003",28182.45
"Males","Population (hist&proj) 15-64, persons","2004",28046.81
"Males","Population (hist&proj) 15-64, persons","2005",27885.79
"Males","Population (hist&proj) 15-64, persons","2006",27718.68
"Males","Population (hist&proj) 15-64, persons","2007",27585.09
"Males","Population (hist&proj) 15-64, persons","2008",27463.47
"Males","Population (hist&proj) 15-64, persons","2009",27317.74
"Males","Population (hist&proj) 15-64, persons","2010",27708.91
"Males","Population (hist&proj) 15-64, persons","2011",27753.51
"Males","Population (hist&proj) 15-64, persons","2012",27764.23
"Males","Population (hist&proj) 15-64, persons","2013",27736.78
"Males","Population (hist&proj) 15-64, persons","2014",27670.8
"Males","Population (hist&proj) 15-64, persons","2015",27576.93
"Males","Population (hist&proj) 15-64, persons","2016",27471.07
"Males","Population (hist&proj) 15-64, persons","2017",27352.72
"Males","Population (hist&proj) 15-64, persons","2018",27224.07
"Males","Population (hist&proj) 15-64, persons","2019",27084.35
"Males","Population (hist&proj) 15-64, persons","2020",26928.7
"Males","Population (hist&proj) 15-64, persons","2021",26756.96
"Males","Population (hist&proj) 15-64, persons","2022",26569.2
"Males","Population (hist&proj) 15-64, persons","2023",26368.91
"Males","Population (hist&proj) 15-64, persons","2024",26149.04
"Males","Population (hist&proj) 15-64, persons","2025",25905.86
"Males","Population (hist&proj) 15-64, persons","2026",25645.72
"Males","Population (hist&proj) 15-64, persons","2027",25372.09
"Males","Population (hist&proj) 15-64, persons","2028",25082.54
"Males","Population (hist&proj) 15-64, persons","2029",24780.87
"Males","Population (hist&proj) 15-64, persons","2030",24482.26
"Males","Population (hist&proj) 15-64, persons","2031",24191.96
"Males","Population (hist&proj) 15-64, persons","2032",23914.82
"Males","Population (hist&proj) 15-64, persons","2033",23654.61
"Males","Population (hist&proj) 15-64, persons","2034",23415.35
"Males","Population (hist&proj) 15-64, persons","2035",23209.44
"Males","Population (hist&proj) 15-64, persons","2036",23034.95
"Males","Population (hist&proj) 15-64, persons","2037",22895.76
"Males","Population (hist&proj) 15-64, persons","2038",22799.36
"Males","Population (hist&proj) 15-64, persons","2039",22722.92
"Males","Population (hist&proj) 15-64, persons","2040",22647.1
"Males","Population (hist&proj) 15-64, persons","2041",22564.27
"Males","Population (hist&proj) 15-64, persons","2042",22469.36
"Males","Population (hist&proj) 15-64, persons","2043",22365.37
"Males","Population (hist&proj) 15-64, persons","2044",22253.21
"Males","Population (hist&proj) 15-64, persons","2045",22124.46
"Males","Population (hist&proj) 15-64, persons","2046",21984.02
"Males","Population (hist&proj) 15-64, persons","2047",21841.5
"Males","Population (hist&proj) 15-64, persons","2048",21700.86
"Males","Population (hist&proj) 15-64, persons","2049",21565.25
"Males","Population (hist&proj) 15-64, persons","2050",21428.8
"Females","Population (hist&proj) 15-64, persons","1950",25410
"Females","Population (hist&proj) 15-64, persons","1951",25824.12
"Females","Population (hist&proj) 15-64, persons","1952",25955.05
"Females","Population (hist&proj) 15-64, persons","1953",26097.79
"Females","Population (hist&proj) 15-64, persons","1954",26269.12
"Females","Population (hist&proj) 15-64, persons","1955",26451.3
"Females","Population (hist&proj) 15-64, persons","1956",26501.58
"Females","Population (hist&proj) 15-64, persons","1957",26450.97
"Females","Population (hist&proj) 15-64, persons","1958",26462.47
"Females","Population (hist&proj) 15-64, persons","1959",26471.98
"Females","Population (hist&proj) 15-64, persons","1960",26385.05
"Females","Population (hist&proj) 15-64, persons","1961",26238.26
"Females","Population (hist&proj) 15-64, persons","1962",26143.26
"Females","Population (hist&proj) 15-64, persons","1963",26092.46
"Females","Population (hist&proj) 15-64, persons","1964",26000.37
"Females","Population (hist&proj) 15-64, persons","1965",25941.17
"Females","Population (hist&proj) 15-64, persons","1966",25935.96
"Females","Population (hist&proj) 15-64, persons","1967",25856.85
"Females","Population (hist&proj) 15-64, persons","1968",25788.2
"Females","Population (hist&proj) 15-64, persons","1969",25815.21
"Females","Population (hist&proj) 15-64, persons","1970",25769.52
"Females","Population (hist&proj) 15-64, persons","1971",25715.78
"Females","Population (hist&proj) 15-64, persons","1972",25759.2
"Females","Population (hist&proj) 15-64, persons","1973",25805.3
"Females","Population (hist&proj) 15-64, persons","1974",25820.68
"Females","Population (hist&proj) 15-64, persons","1975",25782.21
"Females","Population (hist&proj) 15-64, persons","1976",25760.48
"Females","Population (hist&proj) 15-64, persons","1977",25783.27
"Females","Population (hist&proj) 15-64, persons","1978",25839.4
"Females","Population (hist&proj) 15-64, persons","1979",25943.72
"Females","Population (hist&proj) 15-64, persons","1980",26132.43
"Females","Population (hist&proj) 15-64, persons","1981",26418.61
"Females","Population (hist&proj) 15-64, persons","1982",26719.28
"Females","Population (hist&proj) 15-64, persons","1983",26973.94
"Females","Population (hist&proj) 15-64, persons","1984",27105.76
"Females","Population (hist&proj) 15-64, persons","1985",27085.24
"Females","Population (hist&proj) 15-64, persons","1986",27023.28
"Females","Population (hist&proj) 15-64, persons","1987",26959.04
"Females","Population (hist&proj) 15-64, persons","1988",26927.4
"Females","Population (hist&proj) 15-64, persons","1989",26978.19
"Females","Population (hist&proj) 15-64, persons","1990",27041.23
"Females","Population (hist&proj) 15-64, persons","1991",27086.87
"Females","Population (hist&proj) 15-64, persons","1992",27173.84
"Females","Population (hist&proj) 15-64, persons","1993",27265.4
"Females","Population (hist&proj) 15-64, persons","1994",27311.76
"Females","Population (hist&proj) 15-64, persons","1995",27364.3
"Females","Population (hist&proj) 15-64, persons","1996",27438
"Females","Population (hist&proj) 15-64, persons","1997",27496.07
"Females","Population (hist&proj) 15-64, persons","1998",27527.32
"Females","Population (hist&proj) 15-64, persons","1999",27528.46
"Females","Population (hist&proj) 15-64, persons","2000",27497.24
"Females","Population (hist&proj) 15-64, persons","2001",27472.09
"Females","Population (hist&proj) 15-64, persons","2002",27458.07
"Females","Population (hist&proj) 15-64, persons","2003",27413.48
"Females","Population (hist&proj) 15-64, persons","2004",27312.35
"Females","Population (hist&proj) 15-64, persons","2005",27177.61
"Females","Population (hist&proj) 15-64, persons","2006",27027.48
"Females","Population (hist&proj) 15-64, persons","2007",26910.74
"Females","Population (hist&proj) 15-64, persons","2008",26812.35
"Females","Population (hist&proj) 15-64, persons","2009",26688.32
"Females","Population (hist&proj) 15-64, persons","2010",26944.85
"Females","Population (hist&proj) 15-64, persons","2011",26994.33
"Females","Population (hist&proj) 15-64, persons","2012",27009.28
"Females","Population (hist&proj) 15-64, persons","2013",26985.61
"Females","Population (hist&proj) 15-64, persons","2014",26921.04
"Females","Population (hist&proj) 15-64, persons","2015",26824.45
"Females","Population (hist&proj) 15-64, persons","2016",26713.88
"Females","Population (hist&proj) 15-64, persons","2017",26589.21
"Females","Population (hist&proj) 15-64, persons","2018",26454.24
"Females","Population (hist&proj) 15-64, persons","2019",26308.74
"Females","Population (hist&proj) 15-64, persons","2020",26150.73
"Females","Population (hist&proj) 15-64, persons","2021",25981.27
"Females","Population (hist&proj) 15-64, persons","2022",25798.33
"Females","Population (hist&proj) 15-64, persons","2023",25604.25
"Females","Population (hist&proj) 15-64, persons","2024",25389.85
"Females","Population (hist&proj) 15-64, persons","2025",25150.62
"Females","Population (hist&proj) 15-64, persons","2026",24893.47
"Females","Population (hist&proj) 15-64, persons","2027",24624.87
"Females","Population (hist&proj) 15-64, persons","2028",24343.88
"Females","Population (hist&proj) 15-64, persons","2029",24052.19
"Females","Population (hist&proj) 15-64, persons","2030",23764.58
"Females","Population (hist&proj) 15-64, persons","2031",23482.95
"Females","Population (hist&proj) 15-64, persons","2032",23209.51
"Females","Population (hist&proj) 15-64, persons","2033",22951.29
"Females","Population (hist&proj) 15-64, persons","2034",22713.68
"Females","Population (hist&proj) 15-64, persons","2035",22508.08
"Females","Population (hist&proj) 15-64, persons","2036",22331.04
"Females","Population (hist&proj) 15-64, persons","2037",22186.69
"Females","Population (hist&proj) 15-64, persons","2038",22083.86
"Females","Population (hist&proj) 15-64, persons","2039",22000.2
"Females","Population (hist&proj) 15-64, persons","2040",21918.46
"Females","Population (hist&proj) 15-64, persons","2041",21829.88
"Females","Population (hist&proj) 15-64, persons","2042",21727.76
"Females","Population (hist&proj) 15-64, persons","2043",21616.3
"Females","Population (hist&proj) 15-64, persons","2044",21496.16
"Females","Population (hist&proj) 15-64, persons","2045",21358.44
"Females","Population (hist&proj) 15-64, persons","2046",21208.55
"Females","Population (hist&proj) 15-64, persons","2047",21058.8
"Females","Population (hist&proj) 15-64, persons","2048",20913.62
"Females","Population (hist&proj) 15-64, persons","2049",20775.67
"Females","Population (hist&proj) 15-64, persons","2050",20638.81
"All persons","Population (hist&proj) 15-64, persons","1950",45877
"All persons","Population (hist&proj) 15-64, persons","1951",46737.85
"All persons","Population (hist&proj) 15-64, persons","1952",47105.73
"All persons","Population (hist&proj) 15-64, persons","1953",47503.27
"All persons","Population (hist&proj) 15-64, persons","1954",47969.76
"All persons","Population (hist&proj) 15-64, persons","1955",48474.22
"All persons","Population (hist&proj) 15-64, persons","1956",48652.87
"All persons","Population (hist&proj) 15-64, persons","1957",48592.7
"All persons","Population (hist&proj) 15-64, persons","1958",48737.92
"All persons","Population (hist&proj) 15-64, persons","1959",48920.82
"All persons","Population (hist&proj) 15-64, persons","1960",48958.72
"All persons","Population (hist&proj) 15-64, persons","1961",48862.3
"All persons","Population (hist&proj) 15-64, persons","1962",48857.48
"All persons","Population (hist&proj) 15-64, persons","1963",48951.72
"All persons","Population (hist&proj) 15-64, persons","1964",48984.76
"All persons","Population (hist&proj) 15-64, persons","1965",49100.67
"All persons","Population (hist&proj) 15-64, persons","1966",49210.72
"All persons","Population (hist&proj) 15-64, persons","1967",49066.35
"All persons","Population (hist&proj) 15-64, persons","1968",49000.28
"All persons","Population (hist&proj) 15-64, persons","1969",49280.5
"All persons","Population (hist&proj) 15-64, persons","1970",49350.11
"All persons","Population (hist&proj) 15-64, persons","1971",49367.69
"All persons","Population (hist&proj) 15-64, persons","1972",49639.93
"All persons","Population (hist&proj) 15-64, persons","1973",49922.88
"All persons","Population (hist&proj) 15-64, persons","1974",50088.18
"All persons","Population (hist&proj) 15-64, persons","1975",50067.82
"All persons","Population (hist&proj) 15-64, persons","1976",50117.82
"All persons","Population (hist&proj) 15-64, persons","1977",50302.47
"All persons","Population (hist&proj) 15-64, persons","1978",50586
"All persons","Population (hist&proj) 15-64, persons","1979",51002.66
"All persons","Population (hist&proj) 15-64, persons","1980",51603.29
"All persons","Population (hist&proj) 15-64, persons","1981",52317.91
"All persons","Population (hist&proj) 15-64, persons","1982",52963.61
"All persons","Population (hist&proj) 15-64, persons","1983",53500.98
"All persons","Population (hist&proj) 15-64, persons","1984",53831.16
"All persons","Population (hist&proj) 15-64, persons","1985",53931.51
"All persons","Population (hist&proj) 15-64, persons","1986",54003.01
"All persons","Population (hist&proj) 15-64, persons","1987",54077.72
"All persons","Population (hist&proj) 15-64, persons","1988",54204.06
"All persons","Population (hist&proj) 15-64, persons","1989",54493.54
"All persons","Population (hist&proj) 15-64, persons","1990",54792.13
"All persons","Population (hist&proj) 15-64, persons","1991",55023.24
"All persons","Population (hist&proj) 15-64, persons","1992",55349.38
"All persons","Population (hist&proj) 15-64, persons","1993",55613.34
"All persons","Population (hist&proj) 15-64, persons","1994",55686.31
"All persons","Population (hist&proj) 15-64, persons","1995",55774.53
"All persons","Population (hist&proj) 15-64, persons","1996",55907.36
"All persons","Population (hist&proj) 15-64, persons","1997",55980.34
"All persons","Population (hist&proj) 15-64, persons","1998",55991.04
"All persons","Population (hist&proj) 15-64, persons","1999",55952.36
"All persons","Population (hist&proj) 15-64, persons","2000",55851.75
"All persons","Population (hist&proj) 15-64, persons","2001",55772.02
"All persons","Population (hist&proj) 15-64, persons","2002",55719.02
"All persons","Population (hist&proj) 15-64, persons","2003",55595.93
"All persons","Population (hist&proj) 15-64, persons","2004",55359.16
"All persons","Population (hist&proj) 15-64, persons","2005",55063.4
"All persons","Population (hist&proj) 15-64, persons","2006",54746.15
"All persons","Population (hist&proj) 15-64, persons","2007",54495.82
"All persons","Population (hist&proj) 15-64, persons","2008",54275.82
"All persons","Population (hist&proj) 15-64, persons","2009",54006.06
"All persons","Population (hist&proj) 15-64, persons","2010",54653.75
"All persons","Population (hist&proj) 15-64, persons","2011",54747.84
"All persons","Population (hist&proj) 15-64, persons","2012",54773.51
"All persons","Population (hist&proj) 15-64, persons","2013",54722.39
"All persons","Population (hist&proj) 15-64, persons","2014",54591.84
"All persons","Population (hist&proj) 15-64, persons","2015",54401.39
"All persons","Population (hist&proj) 15-64, persons","2016",54184.95
"All persons","Population (hist&proj) 15-64, persons","2017",53941.93
"All persons","Population (hist&proj) 15-64, persons","2018",53678.3
"All persons","Population (hist&proj) 15-64, persons","2019",53393.09
"All persons","Population (hist&proj) 15-64, persons","2020",53079.44
"All persons","Population (hist&proj) 15-64, persons","2021",52738.23
"All persons","Population (hist&proj) 15-64, persons","2022",52367.53
"All persons","Population (hist&proj) 15-64, persons","2023",51973.16
"All persons","Population (hist&proj) 15-64, persons","2024",51538.89
"All persons","Population (hist&proj) 15-64, persons","2025",51056.48
"All persons","Population (hist&proj) 15-64, persons","2026",50539.19
"All persons","Population (hist&proj) 15-64, persons","2027",49996.96
"All persons","Population (hist&proj) 15-64, persons","2028",49426.42
"All persons","Population (hist&proj) 15-64, persons","2029",48833.06
"All persons","Population (hist&proj) 15-64, persons","2030",48246.84
"All persons","Population (hist&proj) 15-64, persons","2031",47674.91
"All persons","Population (hist&proj) 15-64, persons","2032",47124.33
"All persons","Population (hist&proj) 15-64, persons","2033",46605.9
"All persons","Population (hist&proj) 15-64, persons","2034",46129.04
"All persons","Population (hist&proj) 15-64, persons","2035",45717.52
"All persons","Population (hist&proj) 15-64, persons","2036",45365.98
"All persons","Population (hist&proj) 15-64, persons","2037",45082.45
"All persons","Population (hist&proj) 15-64, persons","2038",44883.22
"All persons","Population (hist&proj) 15-64, persons","2039",44723.13
"All persons","Population (hist&proj) 15-64, persons","2040",44565.55
"All persons","Population (hist&proj) 15-64, persons","2041",44394.15
"All persons","Population (hist&proj) 15-64, persons","2042",44197.11
"All persons","Population (hist&proj) 15-64, persons","2043",43981.68
"All persons","Population (hist&proj) 15-64, persons","2044",43749.37
"All persons","Population (hist&proj) 15-64, persons","2045",43482.9
"All persons","Population (hist&proj) 15-64, persons","2046",43192.57
"All persons","Population (hist&proj) 15-64, persons","2047",42900.3
"All persons","Population (hist&proj) 15-64, persons","2048",42614.49
"All persons","Population (hist&proj) 15-64, persons","2049",42340.91
"All persons","Population (hist&proj) 15-64, persons","2050",42067.61
"Males","Population (hist&proj) 20-64, persons","1950",17967
"Males","Population (hist&proj) 20-64, persons","1951",18296.49
"Males","Population (hist&proj) 20-64, persons","1952",18389.19
"Males","Population (hist&proj) 20-64, persons","1953",18474.46
"Males","Population (hist&proj) 20-64, persons","1954",18619.32
"Males","Population (hist&proj) 20-64, persons","1955",18842.5
"Males","Population (hist&proj) 20-64, persons","1956",18937.16
"Males","Population (hist&proj) 20-64, persons","1957",18974.29
"Males","Population (hist&proj) 20-64, persons","1958",19194.3
"Males","Population (hist&proj) 20-64, persons","1959",19501.75
"Males","Population (hist&proj) 20-64, persons","1960",19863.67
"Males","Population (hist&proj) 20-64, persons","1961",20181.32
"Males","Population (hist&proj) 20-64, persons","1962",20404.34
"Males","Population (hist&proj) 20-64, persons","1963",20585.59
"Males","Population (hist&proj) 20-64, persons","1964",20722.38
"Males","Population (hist&proj) 20-64, persons","1965",20801.07
"Males","Population (hist&proj) 20-64, persons","1966",20766.97
"Males","Population (hist&proj) 20-64, persons","1967",20612.34
"Males","Population (hist&proj) 20-64, persons","1968",20555.49
"Males","Population (hist&proj) 20-64, persons","1969",20758.27
"Males","Population (hist&proj) 20-64, persons","1970",20849.4
"Males","Population (hist&proj) 20-64, persons","1971",20891.27
"Males","Population (hist&proj) 20-64, persons","1972",21067.2
"Males","Population (hist&proj) 20-64, persons","1973",21242.31
"Males","Population (hist&proj) 20-64, persons","1974",21328.44
"Males","Population (hist&proj) 20-64, persons","1975",21286.03
"Males","Population (hist&proj) 20-64, persons","1976",21283.55
"Males","Population (hist&proj) 20-64, persons","1977",21362.91
"Males","Population (hist&proj) 20-64, persons","1978",21501.21
"Males","Population (hist&proj) 20-64, persons","1979",21720.91
"Males","Population (hist&proj) 20-64, persons","1980",22055.07
"Males","Population (hist&proj) 20-64, persons","1981",22442.66
"Males","Population (hist&proj) 20-64, persons","1982",22798.81
"Males","Population (hist&proj) 20-64, persons","1983",23140.86
"Males","Population (hist&proj) 20-64, persons","1984",23441.78
"Males","Population (hist&proj) 20-64, persons","1985",23698.89
"Males","Population (hist&proj) 20-64, persons","1986",23983.92
"Males","Population (hist&proj) 20-64, persons","1987",24293.24
"Males","Population (hist&proj) 20-64, persons","1988",24644.87
"Males","Population (hist&proj) 20-64, persons","1989",25065.77
"Males","Population (hist&proj) 20-64, persons","1990",25445.98
"Males","Population (hist&proj) 20-64, persons","1991",25738.74
"Males","Population (hist&proj) 20-64, persons","1992",26028.98
"Males","Population (hist&proj) 20-64, persons","1993",26197.04
"Males","Population (hist&proj) 20-64, persons","1994",26198.98
"Males","Population (hist&proj) 20-64, persons","1995",26187.35
"Males","Population (hist&proj) 20-64, persons","1996",26189.08
"Males","Population (hist&proj) 20-64, persons","1997",26160.63
"Males","Population (hist&proj) 20-64, persons","1998",26110.65
"Males","Population (hist&proj) 20-64, persons","1999",26053.71
"Males","Population (hist&proj) 20-64, persons","2000",25983.38
"Males","Population (hist&proj) 20-64, persons","2001",25926.74
"Males","Population (hist&proj) 20-64, persons","2002",25871.37
"Males","Population (hist&proj) 20-64, persons","2003",25766.76
"Males","Population (hist&proj) 20-64, persons","2004",25602.42
"Males","Population (hist&proj) 20-64, persons","2005",25418.22
"Males","Population (hist&proj) 20-64, persons","2006",25257.85
"Males","Population (hist&proj) 20-64, persons","2007",25174.59
"Males","Population (hist&proj) 20-64, persons","2008",25126.02
"Males","Population (hist&proj) 20-64, persons","2009",25062.84
"Males","Population (hist&proj) 20-64, persons","2010",25492.42
"Males","Population (hist&proj) 20-64, persons","2011",25594.77
"Males","Population (hist&proj) 20-64, persons","2012",25620.9
"Males","Population (hist&proj) 20-64, persons","2013",25597.74
"Males","Population (hist&proj) 20-64, persons","2014",25533.21
"Males","Population (hist&proj) 20-64, persons","2015",25435.68
"Males","Population (hist&proj) 20-64, persons","2016",25340.14
"Males","Population (hist&proj) 20-64, persons","2017",25255.41
"Males","Population (hist&proj) 20-64, persons","2018",25166.76
"Males","Population (hist&proj) 20-64, persons","2019",25062.32
"Males","Population (hist&proj) 20-64, persons","2020",24939.03
"Males","Population (hist&proj) 20-64, persons","2021",24792.7
"Males","Population (hist&proj) 20-64, persons","2022",24619.95
"Males","Population (hist&proj) 20-64, persons","2023",24427.44
"Males","Population (hist&proj) 20-64, persons","2024",24211.5
"Males","Population (hist&proj) 20-64, persons","2025",23970.97
"Males","Population (hist&proj) 20-64, persons","2026",23711.85
"Males","Population (hist&proj) 20-64, persons","2027",23438.19
"Males","Population (hist&proj) 20-64, persons","2028",23148.15
"Males","Population (hist&proj) 20-64, persons","2029",22846.13
"Males","Population (hist&proj) 20-64, persons","2030",22547.85
"Males","Population (hist&proj) 20-64, persons","2031",22259.06
"Males","Population (hist&proj) 20-64, persons","2032",21984.59
"Males","Population (hist&proj) 20-64, persons","2033",21728.23
"Males","Population (hist&proj) 20-64, persons","2034",21494.32
"Males","Population (hist&proj) 20-64, persons","2035",21295.51
"Males","Population (hist&proj) 20-64, persons","2036",21129.96
"Males","Population (hist&proj) 20-64, persons","2037",21001.86
"Males","Population (hist&proj) 20-64, persons","2038",20918.84
"Males","Population (hist&proj) 20-64, persons","2039",20857.69
"Males","Population (hist&proj) 20-64, persons","2040",20798.61
"Males","Population (hist&proj) 20-64, persons","2041",20733.44
"Males","Population (hist&proj) 20-64, persons","2042",20656.57
"Males","Population (hist&proj) 20-64, persons","2043",20570.63
"Males","Population (hist&proj) 20-64, persons","2044",20476.25
"Males","Population (hist&proj) 20-64, persons","2045",20364.92
"Males","Population (hist&proj) 20-64, persons","2046",20241.44
"Males","Population (hist&proj) 20-64, persons","2047",20115.31
"Males","Population (hist&proj) 20-64, persons","2048",19990.38
"Males","Population (hist&proj) 20-64, persons","2049",19869.59
"Males","Population (hist&proj) 20-64, persons","2050",19746.88
"Females","Population (hist&proj) 20-64, persons","1950",22976
"Females","Population (hist&proj) 20-64, persons","1951",23280.54
"Females","Population (hist&proj) 20-64, persons","1952",23278.48
"Females","Population (hist&proj) 20-64, persons","1953",23267.57
"Females","Population (hist&proj) 20-64, persons","1954",23297.86
"Females","Population (hist&proj) 20-64, persons","1955",23383.49
"Females","Population (hist&proj) 20-64, persons","1956",23392.69
"Females","Population (hist&proj) 20-64, persons","1957",23382.06
"Females","Population (hist&proj) 20-64, persons","1958",23485.27
"Females","Population (hist&proj) 20-64, persons","1959",23631.2
"Females","Population (hist&proj) 20-64, persons","1960",23776.64
"Females","Population (hist&proj) 20-64, persons","1961",23891.53
"Females","Population (hist&proj) 20-64, persons","1962",23930.32
"Females","Population (hist&proj) 20-64, persons","1963",23918.33
"Females","Population (hist&proj) 20-64, persons","1964",23844.21
"Females","Population (hist&proj) 20-64, persons","1965",23703.71
"Females","Population (hist&proj) 20-64, persons","1966",23558.09
"Females","Population (hist&proj) 20-64, persons","1967",23389.47
"Females","Population (hist&proj) 20-64, persons","1968",23260.73
"Females","Population (hist&proj) 20-64, persons","1969",23236.94
"Females","Population (hist&proj) 20-64, persons","1970",23166.99
"Females","Population (hist&proj) 20-64, persons","1971",23088.77
"Females","Population (hist&proj) 20-64, persons","1972",23087.45
"Females","Population (hist&proj) 20-64, persons","1973",23081.26
"Females","Population (hist&proj) 20-64, persons","1974",23040.25
"Females","Population (hist&proj) 20-64, persons","1975",22940.82
"Females","Population (hist&proj) 20-64, persons","1976",22843.6
"Females","Population (hist&proj) 20-64, persons","1977",22784.98
"Females","Population (hist&proj) 20-64, persons","1978",22753.71
"Females","Population (hist&proj) 20-64, persons","1979",22774.53
"Females","Population (hist&proj) 20-64, persons","1980",22905.4
"Females","Population (hist&proj) 20-64, persons","1981",23163.97
"Females","Population (hist&proj) 20-64, persons","1982",23471.83
"Females","Population (hist&proj) 20-64, persons","1983",23776.01
"Females","Population (hist&proj) 20-64, persons","1984",24000.14
"Females","Population (hist&proj) 20-64, persons","1985",24102.91
"Females","Population (hist&proj) 20-64, persons","1986",24179.92
"Females","Population (hist&proj) 20-64, persons","1987",24273.71
"Females","Population (hist&proj) 20-64, persons","1988",24424.47
"Females","Population (hist&proj) 20-64, persons","1989",24650.82
"Females","Population (hist&proj) 20-64, persons","1990",24854.46
"Females","Population (hist&proj) 20-64, persons","1991",25003.33
"Females","Population (hist&proj) 20-64, persons","1992",25142.91
"Females","Population (hist&proj) 20-64, persons","1993",25235.72
"Females","Population (hist&proj) 20-64, persons","1994",25258.55
"Females","Population (hist&proj) 20-64, persons","1995",25263.44
"Females","Population (hist&proj) 20-64, persons","1996",25279.8
"Females","Population (hist&proj) 20-64, persons","1997",25294.83
"Females","Population (hist&proj) 20-64, persons","1998",25297.09
"Females","Population (hist&proj) 20-64, persons","1999",25280.32
"Females","Population (hist&proj) 20-64, persons","2000",25245.61
"Females","Population (hist&proj) 20-64, persons","2001",25218.75
"Females","Population (hist&proj) 20-64, persons","2002",25190.61
"Females","Population (hist&proj) 20-64, persons","2003",25121.34
"Females","Population (hist&proj) 20-64, persons","2004",24991.7
"Females","Population (hist&proj) 20-64, persons","2005",24833.35
"Females","Population (hist&proj) 20-64, persons","2006",24689.23
"Females","Population (hist&proj) 20-64, persons","2007",24618.58
"Females","Population (hist&proj) 20-64, persons","2008",24588.51
"Females","Population (hist&proj) 20-64, persons","2009",24544.86
"Females","Population (hist&proj) 20-64, persons","2010",24841.58
"Females","Population (hist&proj) 20-64, persons","2011",24946.2
"Females","Population (hist&proj) 20-64, persons","2012",24977.27
"Females","Population (hist&proj) 20-64, persons","2013",24958.22
"Females","Population (hist&proj) 20-64, persons","2014",24894.9
"Females","Population (hist&proj) 20-64, persons","2015",24793.75
"Females","Population (hist&proj) 20-64, persons","2016",24691.21
"Females","Population (hist&proj) 20-64, persons","2017",24597.6
"Females","Population (hist&proj) 20-64, persons","2018",24500.29
"Females","Population (hist&proj) 20-64, persons","2019",24388.68
"Females","Population (hist&proj) 20-64, persons","2020",24264.28
"Females","Population (hist&proj) 20-64, persons","2021",24122.72
"Females","Population (hist&proj) 20-64, persons","2022",23956.56
"Females","Population (hist&proj) 20-64, persons","2023",23772.34
