"Series";"Sex";"Age";"Frequency";"Country";"Time";"Value";"Flags"
"Population";"Women";"40 to 44";"Annual";"Germany";"1970";1978;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1970";11.2;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1970";6.7;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1970";4.5;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1970";2624.3;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1970";1564.1;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1970";1060.2;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1970";2636;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1970";1571;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1970";1065;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1970";3815;
"Population";"Men";"45 to 49";"Annual";"Germany";"1970";1623;
"Population";"Women";"45 to 49";"Annual";"Germany";"1970";2192;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1970";11.7;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1970";6.9;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1970";4.8;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1970";1631.8;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1970";994.9;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1970";636.9;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1970";1642;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1970";1001;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1970";641;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1970";2524;
"Population";"Men";"50 to 54";"Annual";"Germany";"1970";1056;
"Population";"Women";"50 to 54";"Annual";"Germany";"1970";1468;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1970";10.2;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1970";6.1;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1970";4.1;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1970";2165.4;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1970";1377.8;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1970";787.6;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1970";2186;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1970";1393;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1970";793;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1970";3754;
"Population";"Men";"55 to 59";"Annual";"Germany";"1970";1574;
"Population";"Women";"55 to 59";"Annual";"Germany";"1970";2180;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1970";20.6;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1970";15.2;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1970";5.4;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1970";1526.1;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1970";1096.2;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1970";429.9;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1970";1557;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1970";1124;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1970";433;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1970";3687;
"Population";"Men";"60 to 64";"Annual";"Germany";"1970";1563;
"Population";"Women";"60 to 64";"Annual";"Germany";"1970";2124;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1970";30.9;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1970";27.8;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1970";3.1;
"Employment";"All persons";"Total";"Annual";"Germany";"1970";26670;
"Employment";"Men";"Total";"Annual";"Germany";"1970";17105.9;
"Employment";"Women";"Total";"Annual";"Germany";"1970";9564.1;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1970";26819;
"Labour Force";"Men";"Total";"Annual";"Germany";"1970";17199;
"Labour Force";"Women";"Total";"Annual";"Germany";"1970";9620;
"Population";"All persons";"Total";"Annual";"Germany";"1970";38603;
"Population";"Men";"Total";"Annual";"Germany";"1970";18574;
"Population";"Women";"Total";"Annual";"Germany";"1970";20029;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1970";149;
"Unemployment";"Men";"Total";"Annual";"Germany";"1970";93.1;
"Unemployment";"Women";"Total";"Annual";"Germany";"1970";55.9;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1971";2510.2;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1971";1307;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1971";1203.2;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1971";2525;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1971";1313;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1971";1212;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1971";4073;
"Population";"Men";"15 to 19";"Annual";"Germany";"1971";2088;
"Population";"Women";"15 to 19";"Annual";"Germany";"1971";1985;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1971";14.8;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1971";6;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1971";8.8;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1971";3072.2;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1971";1751.6;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1971";1320.6;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1971";3094;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1971";1760;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1971";1334;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1971";4032;
"Population";"Men";"20 to 24";"Annual";"Germany";"1971";2070;
"Population";"Women";"20 to 24";"Annual";"Germany";"1971";1962;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1971";21.8;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1971";8.4;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1971";13.4;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1971";2899.5;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1971";1911.4;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1971";988.1;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1971";2919;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1971";1920;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1971";999;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1971";3972;
"Population";"Men";"25 to 29";"Annual";"Germany";"1971";2070;
"Population";"Women";"25 to 29";"Annual";"Germany";"1971";1902;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1971";19.5;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1971";8.6;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1971";10.9;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1971";3709.1;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1971";2604.4;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1971";1104.7;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1971";3729;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1971";2613;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1971";1116;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1971";5099;
"Population";"Men";"30 to 34";"Annual";"Germany";"1971";2674;
"Population";"Women";"30 to 34";"Annual";"Germany";"1971";2425;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1971";19.9;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1971";8.6;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1971";11.3;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1971";3012.6;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1971";2104.6;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1971";908;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1971";3029;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1971";2112;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1971";917;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1971";4117;
"Population";"Men";"35 to 39";"Annual";"Germany";"1971";2153;
"Population";"Women";"35 to 39";"Annual";"Germany";"1971";1964;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1971";16.4;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1971";7.4;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1971";9;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1971";2898.3;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1971";1953;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1971";945.3;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1971";2914;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1971";1961;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1971";953;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1971";3953;
"Population";"Men";"40 to 44";"Annual";"Germany";"1971";2010;
"Population";"Women";"40 to 44";"Annual";"Germany";"1971";1943;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1971";15.7;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1971";8;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1971";7.7;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1971";2616.6;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1971";1565.6;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1971";1051;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1971";2632;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1971";1573;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1971";1059;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1971";3772;
"Population";"Men";"45 to 49";"Annual";"Germany";"1971";1639;
"Population";"Women";"45 to 49";"Annual";"Germany";"1971";2133;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1971";15.4;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1971";7.4;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1971";8;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1971";1853.7;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1971";1112.4;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1971";741.3;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1971";1867;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1971";1119;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1971";748;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1971";2852;
"Population";"Men";"50 to 54";"Annual";"Germany";"1971";1190;
"Population";"Women";"50 to 54";"Annual";"Germany";"1971";1662;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1971";13.3;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1971";6.6;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1971";6.7;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1971";1942.5;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1971";1231.5;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1971";711;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1971";1962;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1971";1244;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1971";718;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1971";3423;
"Population";"Men";"55 to 59";"Annual";"Germany";"1971";1427;
"Population";"Women";"55 to 59";"Annual";"Germany";"1971";1996;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1971";19.5;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1971";12.5;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1971";7;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1971";1462.6;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1971";1053.2;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1971";409.4;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1971";1491;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1971";1080;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1971";411;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1971";3673;
"Population";"Men";"60 to 64";"Annual";"Germany";"1971";1535;
"Population";"Women";"60 to 64";"Annual";"Germany";"1971";2138;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1971";28.4;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1971";26.8;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1971";1.6;
"Employment";"All persons";"Total";"Annual";"Germany";"1971";26773.6;
"Employment";"Men";"Total";"Annual";"Germany";"1971";17100.1;
"Employment";"Women";"Total";"Annual";"Germany";"1971";9673.5;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1971";26959;
"Labour Force";"Men";"Total";"Annual";"Germany";"1971";17201;
"Labour Force";"Women";"Total";"Annual";"Germany";"1971";9758;
"Population";"All persons";"Total";"Annual";"Germany";"1971";38966;
"Population";"Men";"Total";"Annual";"Germany";"1971";18856;
"Population";"Women";"Total";"Annual";"Germany";"1971";20110;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1971";185.4;
"Unemployment";"Men";"Total";"Annual";"Germany";"1971";100.9;
"Unemployment";"Women";"Total";"Annual";"Germany";"1971";84.5;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1972";2462.3;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1972";1277;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1972";1185.3;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1972";2482;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1972";1285;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1972";1197;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1972";4172;
"Population";"Men";"15 to 19";"Annual";"Germany";"1972";2141;
"Population";"Women";"15 to 19";"Annual";"Germany";"1972";2031;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1972";19.7;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1972";8;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1972";11.7;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1972";3114.7;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1972";1758.2;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1972";1356.5;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1972";3144;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1972";1770;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1972";1374;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1972";4175;
"Population";"Men";"20 to 24";"Annual";"Germany";"1972";2139;
"Population";"Women";"20 to 24";"Annual";"Germany";"1972";2036;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1972";29.3;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1972";11.8;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1972";17.5;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1972";2815.8;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1972";1833.9;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1972";981.9;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1972";2841;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1972";1846;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1972";995;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1972";3860;
"Population";"Men";"25 to 29";"Annual";"Germany";"1972";2011;
"Population";"Women";"25 to 29";"Annual";"Germany";"1972";1849;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1972";25.2;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1972";12.1;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1972";13.1;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1972";3741.9;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1972";2589.9;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1972";1152;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1972";3767;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1972";2602;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1972";1165;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1972";5088;
"Population";"Men";"30 to 34";"Annual";"Germany";"1972";2672;
"Population";"Women";"30 to 34";"Annual";"Germany";"1972";2416;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1972";25.1;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1972";12.1;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1972";13;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1972";3223.6;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1972";2218;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1972";1005.6;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1972";3244;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1972";2228;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1972";1016;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1972";4338;
"Population";"Men";"35 to 39";"Annual";"Germany";"1972";2272;
"Population";"Women";"35 to 39";"Annual";"Germany";"1972";2066;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1972";20.4;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1972";10;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1972";10.4;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1972";2907.5;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1972";1967.8;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1972";939.7;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1972";2927;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1972";1978;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1972";949;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1972";3932;
"Population";"Men";"40 to 44";"Annual";"Germany";"1972";2025;
"Population";"Women";"40 to 44";"Annual";"Germany";"1972";1907;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1972";19.5;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1972";10.2;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1972";9.3;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1972";2638.6;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1972";1595.5;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1972";1043.1;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1972";2658;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1972";1605;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1972";1053;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1972";3743;
"Population";"Men";"45 to 49";"Annual";"Germany";"1972";1670;
"Population";"Women";"45 to 49";"Annual";"Germany";"1972";2073;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1972";19.4;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1972";9.5;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1972";9.9;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1972";2087;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1972";1231.7;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1972";855.3;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1972";2106;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1972";1241;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1972";865;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1972";3194;
"Population";"Men";"50 to 54";"Annual";"Germany";"1972";1333;
"Population";"Women";"50 to 54";"Annual";"Germany";"1972";1861;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1972";19;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1972";9.3;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1972";9.7;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1972";1712.7;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1972";1073.2;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1972";639.5;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1972";1737;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1972";1089;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1972";648;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1972";3066;
"Population";"Men";"55 to 59";"Annual";"Germany";"1972";1270;
"Population";"Women";"55 to 59";"Annual";"Germany";"1972";1796;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1972";24.3;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1972";15.8;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1972";8.5;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1972";1386.1;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1972";997.7;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1972";388.4;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1972";1430;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1972";1039;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1972";391;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1972";3654;
"Population";"Men";"60 to 64";"Annual";"Germany";"1972";1514;
"Population";"Women";"60 to 64";"Annual";"Germany";"1972";2140;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1972";43.9;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1972";41.3;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1972";2.6;
"Employment";"All persons";"Total";"Annual";"Germany";"1972";26874.4;
"Employment";"Men";"Total";"Annual";"Germany";"1972";17026.2;
"Employment";"Women";"Total";"Annual";"Germany";"1972";9848.2;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1972";27121;
"Labour Force";"Men";"Total";"Annual";"Germany";"1972";17167;
"Labour Force";"Women";"Total";"Annual";"Germany";"1972";9954;
"Population";"All persons";"Total";"Annual";"Germany";"1972";39222;
"Population";"Men";"Total";"Annual";"Germany";"1972";19047;
"Population";"Women";"Total";"Annual";"Germany";"1972";20175;
